idmeertens,source_id,source,beroep_afzender,sekse,klasse,leeftijd_afzender,verzendlocatie,datum_verzonden,target,target_id,sekse_ontvanger,relatie,beroep_ontvanger,ontvangerlocatie,genre,schip,lng_afzender,lat_afzender,genoemde_namen,genoemde_goederen,afbeeldingjpg,afbeeldingxml,transcriptie,lat_ontvanger,lng_ontvanger,landcode,target_id_fout,fuzzy_id
number 307,130,Jan Andriesen,Schipper,m,,,World,1672-12-29,Anna Jansen,650000,,vrouw,,World/The Netherlands/Zeeland/Middelburg,,,-83,7466403,42,230537,,paertie letter houte stocken, alf oxhooft leemon sop, als ox hooft goet sucker,,,,51,4987962,3,610998,1,65,
number 608,206,Willem Bleau,,m,,,World/Suriname,1672-1-10,Anna Maria Soetens,680000,,Moeder,,World/The Netherlands/Zuid-Holland/Den Haag,,,-56,027783,3,919305,,,,,,52,0704978,4,3006999,1,68,
number 60,32,Alexander Batij,secretaris,m,,,World/Suriname/Torarica,1672-1-11,Anna Mees ,690000,v,tante,,World/The Netherlands/Zeeland/Middelburg,,,-55,0333333,5,3333333,Willem Span (predikant) (weduwe),,,,,51,4987962,3,610998,1,69,
number 61,32,Alexander Batij,secretaris,m,,,World/Suriname/Torarica,1672-9-13,Anna Mees ,690000,v,tante,,World/The Netherlands/Zeeland/Middelburg,,,-55,0333333,5,3333333,Willem Span (predikant) (weduwe),,,,,51,4987962,3,610998,1,69,
number 457,149,Johannis Robbersen,,m,,,World/Suriname,1672-1-2,Anna van Eessen,710000,,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,Daneel Emerij (weduwe van), Pieter Jaspers (schipper),,,,,51,4987962,3,610998,1,71,
3095,3,D. Rasenberch,,m,,,World/Suriname,1672-1-13,Anna van Rasenberg,720000,v,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,,,,,,51,4987962,3,610998,1,72,
number 603,202,W. Rasenberg,,man,,30-50,World,1672-1-13,Anna van Rasenberg,720000,,,,World/The Netherlands/Zeeland/Middelburg,brief,,-83,7466403,42,230537,Johannes d'Olijslager,confijt, suyker, lamoen,,,,51,4987962,3,610998,1,72,
number 604,202,W. Rasenberg,,man,,30-50,World,1672-1-6,Anna van Rasenberg,720000,,(ex)man,,World/The Netherlands/Zeeland/Middelburg,brief,,-83,7466403,42,230537,Soetelinck (neef), Jean Sijmoensse (buurman),,,,,51,4987962,3,610998,1,72,
number 172,12,Nicolaas Combe,,,,,World,1672-1-7,Anne Genevene de Huybert,750000,,,,World/The Netherlands/Zeeland/Middelburg,,,-83,7466403,42,230537,Jan Tinnegieter,,,,,51,4987962,3,610998,1,75,
1044,9,Jan van Ruijven,Koopman,m,,,World/Suriname,1671-02-03,Anthoni Wilmerdom,760000,m ,,,World/The Netherlands/Noord-Holland/Amsterdam,brief,,-56,027783,3,919305,,,nl-hana_hca30-223_5_0135.jpg,nl-hana_hca30-223_5_0135.xml,,52,3702157,4,8951679,1,76,
AA,347,Isaque Montesinas,,,,,World/Suriname,1671-12,Anto Montesinas,770000,,,,World/Ireland/Leinster/Dublin,,,-56,027783,3,919305,,,,,,53,3498053,-6,2603097,2,77,
AB,351,Onbekend,,,,,World/Suriname,1671-01-01,Anto Montesinos,770000,,,,World/Ireland/Leinster/Dublin,,,-56,027783,3,919305,,,,,,53,3498053,-6,2603097,2,77,
AC,3640004,Onbekend,,,,,World,,Antonio de Soto,790000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,2,79,
AD,316,Onbekend,,,,,World,,Antonio Monteiros,800000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,2,80,
AE,374,Ishak de Avilar,,,,,World/Suriname,1672-1-3,Antonio Spinessa,810000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,81,
3521,1,B. Raule,,m ,,,World,1671-08-12,Augustin Brolt,830000,M,,,World,,,3,610998,51,4987962,,,,,,42,230537,-83,7466403,1,83,
number 571,188,Samuel de Witt,,m,,,World/Suriname,1672-1-5,Baltenswack,840000,,,,World/The Netherlands/Zuid-Holland/Rotterdam,,,-56,027783,3,919305,,suijker,,,,51,9216667,4,4811111,1,84,
number 611,206,Willem Bleau,,m,,,World/Suriname,1672-1-10,Barent Helleman,850000,,,,World,,,-56,027783,3,919305,Johannes d'Olijslager,,,,,42,230537,-83,7466403,1,85,
number 422,146,Johan van Melckebeecke,,m,,,World,1672-12-14,Bartholomeus de Looper,860000,,moeder en vader,,World,,,-83,7466403,42,230537,Daneel Emerij (weduwe van), Pieter Jaspers (schipper),,,,,42,230537,-83,7466403,1,86,
number 423,146,Johan van Melckebeecke,,m,,,World/Suriname/Torarica,1672-1-9,Bartholomeus de Looper,860000,,vader moeder zuster. ,,World/The Netherlands/Zeeland/Terneuzen,,,-55,0333333,5,3333333,Abraham Vlaminck, Pieter Heersensen, Huibrecht Pietersen,,,,,51,3322854,3,8324265,1,86,
